Rosalind_9606 Rosalind_8527
Rosalind_4945 Rosalind_9535
Rosalind_5409 Rosalind_1347
Rosalind_5409 Rosalind_1663
Rosalind_5409 Rosalind_0951
Rosalind_0549 Rosalind_4945
Rosalind_0549 Rosalind_8330
Rosalind_0549 Rosalind_9091
Rosalind_0549 Rosalind_9416
Rosalind_7136 Rosalind_2767
Rosalind_7136 Rosalind_7926
Rosalind_5401 Rosalind_1401
Rosalind_0985 Rosalind_0997
Rosalind_0985 Rosalind_8638
Rosalind_0985 Rosalind_2529
Rosalind_0985 Rosalind_5856
Rosalind_1009 Rosalind_1656
Rosalind_1009 Rosalind_4745
Rosalind_7129 Rosalind_0176
Rosalind_7129 Rosalind_9265
Rosalind_7129 Rosalind_9974
Rosalind_9166 Rosalind_0733
Rosalind_1754 Rosalind_2506
Rosalind_5239 Rosalind_0631
Rosalind_5239 Rosalind_8502
Rosalind_5239 Rosalind_9206
Rosalind_6153 Rosalind_5388
Rosalind_0631 Rosalind_2506
Rosalind_0304 Rosalind_6867
Rosalind_2879 Rosalind_3110
Rosalind_9852 Rosalind_4719
Rosalind_9852 Rosalind_0944
Rosalind_9852 Rosalind_1680
Rosalind_2639 Rosalind_7922
Rosalind_2639 Rosalind_0594
Rosalind_0023 Rosalind_2899
Rosalind_6239 Rosalind_2879
Rosalind_8598 Rosalind_1754
Rosalind_8598 Rosalind_9461
Rosalind_1347 Rosalind_0997
Rosalind_1347 Rosalind_8638
Rosalind_1347 Rosalind_2529
Rosalind_1347 Rosalind_5856
Rosalind_9650 Rosalind_1754
Rosalind_9650 Rosalind_9461
Rosalind_5241 Rosalind_9463
Rosalind_0997 Rosalind_4621
Rosalind_0997 Rosalind_8521
Rosalind_8853 Rosalind_9463
Rosalind_2036 Rosalind_2639
Rosalind_2036 Rosalind_0365
Rosalind_2036 Rosalind_1317
Rosalind_1013 Rosalind_6239
Rosalind_1013 Rosalind_3510
Rosalind_8502 Rosalind_8679
Rosalind_7604 Rosalind_6867
Rosalind_4621 Rosalind_0304
Rosalind_3454 Rosalind_9852
Rosalind_3454 Rosalind_7586
Rosalind_3454 Rosalind_0958
Rosalind_6937 Rosalind_6867
Rosalind_7895 Rosalind_5241
Rosalind_7895 Rosalind_4884
Rosalind_7895 Rosalind_4027
Rosalind_3110 Rosalind_5388
Rosalind_5388 Rosalind_9650
Rosalind_2899 Rosalind_6423
Rosalind_2899 Rosalind_6385
Rosalind_4719 Rosalind_7136
Rosalind_8330 Rosalind_4621
Rosalind_8330 Rosalind_8521
Rosalind_6629 Rosalind_9463
Rosalind_4884 Rosalind_0304
Rosalind_6907 Rosalind_5388
Rosalind_8527 Rosalind_1401
Rosalind_8521 Rosalind_5401
Rosalind_8521 Rosalind_9698
Rosalind_8638 Rosalind_9852
Rosalind_8638 Rosalind_7586
Rosalind_8638 Rosalind_0958
Rosalind_3265 Rosalind_2506
Rosalind_9986 Rosalind_4621
Rosalind_9986 Rosalind_8521
Rosalind_0176 Rosalind_7136
Rosalind_1317 Rosalind_2879
Rosalind_5270 Rosalind_5401
Rosalind_5270 Rosalind_9698
Rosalind_2767 Rosalind_3037
Rosalind_4401 Rosalind_0304
Rosalind_6695 Rosalind_0304
Rosalind_3037 Rosalind_9986
Rosalind_1656 Rosalind_8275
Rosalind_3176 Rosalind_9463
Rosalind_6473 Rosalind_2767
Rosalind_6473 Rosalind_7926
Rosalind_9265 Rosalind_4621
Rosalind_9265 Rosalind_8521
Rosalind_4027 Rosalind_8275
Rosalind_7922 Rosalind_2879
Rosalind_7926 Rosalind_2506
Rosalind_2529 Rosalind_7895
Rosalind_2529 Rosalind_6907
Rosalind_2529 Rosalind_5270
Rosalind_3080 Rosalind_3037
Rosalind_1663 Rosalind_9650
Rosalind_0951 Rosalind_9852
Rosalind_0951 Rosalind_7586
Rosalind_0951 Rosalind_0958
Rosalind_0743 Rosalind_6239
Rosalind_0743 Rosalind_3510
Rosalind_0958 Rosalind_6153
Rosalind_8679 Rosalind_7604
Rosalind_9461 Rosalind_5388
Rosalind_9463 Rosalind_6239
Rosalind_9463 Rosalind_3510
Rosalind_6423 Rosalind_0631
Rosalind_6423 Rosalind_8502
Rosalind_6423 Rosalind_9206
Rosalind_6260 Rosalind_5388
Rosalind_9416 Rosalind_0176
Rosalind_9416 Rosalind_9265
Rosalind_9416 Rosalind_9974
Rosalind_5856 Rosalind_0304
Rosalind_9472 Rosalind_7136
Rosalind_0733 Rosalind_6937
Rosalind_9206 Rosalind_3110
Rosalind_6251 Rosalind_3110
Rosalind_9974 Rosalind_2879
Rosalind_2394 Rosalind_5409
Rosalind_6867 Rosalind_8927
Rosalind_1680 Rosalind_0743
Rosalind_3756 Rosalind_2879
Rosalind_2506 Rosalind_1401
Rosalind_1031 Rosalind_9606
Rosalind_1031 Rosalind_3080
Rosalind_8248 Rosalind_6260
Rosalind_6385 Rosalind_9472
